Hypocotyl: Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol Glands,Leaf: Nectaries,Leaf: Petiole Pigmentation,Leaf: Shape,Plant: Stem Hairiness,Plant: Stem Pigmentation,Plant: Height (cm),Plant: Growth Habit,Bract: Type,Flower: Time of Flowering (50% of plants with at least one open flower),Flower: Petal Colour,Flower: Petal Spot,Flower: Stigma,Flower: Anther Filament Colouration,Flower: Pollen Colour,Flower: Male Sterility (Only for A and B lines),Boll: Bearing Habit,Boll: Colour,Boll: Shape (Longitudinal Section),Boll: Surface,Boll: Prominence of Tip,Boll: Opening,Boll: Weight of Seed cotton/boll (grams),Seed: Fuzz,Seed: Fuzz Colour,Seed: Index (100 seed weight in grams),Ginning (%),Fibre: Colour,Fibre: Length (2.5% span length in mm),Fibre: Strength (G/Tex),Fibre: Fineness (micronaire value),Fibre: Uniformity (%),Group
Present,Light Green,Sparse,Flat,218,NA,Present,Palmate,Medium,Absent,60,NA,Normal,50,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.6,Medium,White,6,36.3,White,22.8,18.5,3.2,52,Variety
Present,Light Green,Sparse,Flat,204,NA,Present,Palmate,Medium,Absent,85,NA,Normal,50,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Elliptic,Pitted,Pointed,Open,2.8,Medium,White,9.5,34.4,White,23.5,19.5,4,53,Variety
Present,Light Green,Sparse,Flat,117,NA,Present,Palmate,Medium,Absent,56,NA,Normal,52,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,Medium,Grey,7.5,35.8,White,23.5,19.9,3.6,51,Variety
Present,Light Green,Sparse,Flat,259,NA,Present,Palmate,Medium,Absent,60,NA,Normal,48,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Sparse,Grey,7,31.8,White,21.7,19.2,3.3,51,Variety
Present,Light Green,Sparse,Flat,151,NA,Present (Faint),Palmate,Medium,Absent,46,NA,Normal,50,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Medium,Grey,6,32.8,White,22.2,17.9,3,50,Variety
Present,Light Green,Sparse,Flat,359,NA,Absent,Palmate,Sparse,Absent,64,NA,Normal,50,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Medium,Grey,8.5,35.5,White,24.1,17.8,3.6,51,Variety
Present,Light Green,Sparse,Flat,351,NA,Present,Palmate,Medium,Absent,68,NA,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Medium,Grey,7.5,34.5,White,29.3,19.7,2.8,47,Variety
Present,Light Green,Sparse,Flat,224,NA,Present,Palmate,Medium,Absent,75,NA,Normal,51,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Medium,White,6.5,36.4,White,23.5,18.8,3.4,50,Variety
Present,Light Green,Medium,Flat,145,NA,Present,Palmate,Medium,Absent,70,NA,Normal,43,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.8,Dense,White,8.5,34.5,White,24.9,21.7,4.3,51,Variety
Present,Green,Sparse,Flat,213,NA,Present,Palmate,Medium,Absent,58,NA,Normal,45,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.3,Medium,Grey,6.5,40.3,White,26,18.2,3.5,49,Variety
Present,Light Green,Sparse,Flat,122,NA,Present,Palmate,Medium,Absent,55,NA,Normal,48,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.1,Medium,White,7.5,34.2,White,26.1,20.4,3.2,46,Variety
Present,Light Green,Medium,Flat,217,NA,Present,Palmate,Medium,Absent,52,NA,Normal,56,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.7,Medium,Grey,7.5,36.4,White,25.5,20.4,3.2,47,Variety
Present,Light Green,Sparse,Flat,126,NA,Present,Palmate,Sparse,Absent,50,NA,Normal,56,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.8,Medium,White,6.5,33.4,Cream,25.5,21.4,3.2,49,Variety
Present,Green,Medium,Flat,247,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,41,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.5,Medium,Grey,8.5,38.1,Cream,23.6,18.8,4.3,54,Variety
Present,Light Green,Sparse,Flat,93,NA,Present,Palmate,Medium,Absent,70,NA,Normal,56,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.7,Medium,White,9,37.6,White,22.9,19.2,3.2,51,Variety
Present,Light Green,Sparse,Flat,93,NA,Present,Palmate,Medium,Absent,70,NA,Normal,56,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.7,Medium,White,9,37.6,White,22.9,19.2,3.2,51,Variety
Present,Light Green,Sparse,Cup,161,NA,Present,Palmate,Medium,Absent,58,NA,Normal,52,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.3,Sparse,Grey,7,34.5,White,25,18.6,3.2,50,Variety
Present,Light Green,Sparse,Flat,214,NA,Present,Palmate,Sparse,Absent,65,NA,Normal,41,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,Dense,Grey,8.5,35.5,White,24.1,18.5,3.5,52,Variety
Present,Light Green,Sparse,Flat,169,NA,Present,Palmate,Sparse,Absent,62,NA,Normal,56,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Elliptic,Smooth,Blunt,Open,NA,Dense,Brown,10,30.9,Brown,26.9,21.3,3.1,51,Variety
Present,Light Green,Sparse,Flat,178,NA,Present,Palmate,Medium,Absent,56,NA,Normal,NA,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,Dense,White,9.5,31.7,Cream,31.7,21.4,2.6,45,Variety
Present,Light Green,Sparse,Flat,180,NA,Present (Faint),Palmate,Sparse,Present,65,NA,Normal,NA,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,Dense,Grey,8,31.4,White,33.2,20.1,2.7,43,Variety
Present,Light Green,Sparse,Flat,273,NA,Present,Palmate,Sparse,Absent,64,NA,Normal,43,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,1.4,Medium,White,5.5,36.5,White,23.1,20,3.1,51,Variety
Present,Light Green,Sparse,Flat,213,NA,Present,Palmate,Sparse,Absent,64,NA,Normal,50,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.5,Medium,Grey,7.5,37.2,White,27.5,20.6,2.8,45,Variety
Present,Light Green,Sparse,Flat,227,NA,Present,Palmate,Sparse - Medium,Absent,58,NA,Normal,37,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.8,Medium,Grey,6.5,35,White,25.4,21.9,3.3,49,Variety
Present,Light Green,Sparse,Flat,283,NA,Present,Palmate,Sparse,Absent,58,NA,Normal,34,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.2,Medium,Grey,6.5,37.8,White,22.6,19.2,3.1,49,Variety
Present,Light Green,Sparse,Flat,231,NA,Present,Palmate,Sparse,Absent,65,NA,Normal,35,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.6,Medium,Grey,7,33.1,White,23.7,21,3.8,52,Variety
Present,Light Green,Sparse,Flat,222,NA,Present,Palmate,Sparse,Present,64,NA,Normal,56,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Pointed,Open,2.7,Dense,White,9,31.6,White,28.3,20.5,2.7,45,Variety
Present,Light Green,Medium,Cup,132,NA,Absent,Palmate,Medium,Absent,58,NA,Normal,57,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.2,Dense,White,9,34.7,White,27.2,22.8,3.6,48,Variety
Present,Light Green,Sparse,Flat,143,NA,Present,Palmate,Sparse,Absent,55,NA,Normal,39,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,3.1,Medium,Grey,8,37.1,White,24.9,21.2,3.2,51,Variety
Present,Light Green,Sparse,Flat,301,NA,Present,Palmate,Sparse,Absent,64,NA,Normal,48,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3.8,Dense,White,7.5,26.6,White,24.5,21.5,3.1,48,Variety
Present,Light Green,Sparse,Flat,196,NA,Present,Palmate,Sparse,Absent,74,NA,Normal,48,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.1,Medium,Grey,7,35.9,White,22.1,20.7,3.5,50,Variety
Present,Light Green,Sparse,Flat,227,NA,Present,Palmate,Sparse,Absent,60,NA,Normal,56,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.1,Medium,Grey,6.5,34.4,White,22.8,20.8,3.8,53,Variety
Present,Light Green,Sparse,Flat,227,NA,Present,Palmate,Sparse,Absent,60,NA,Normal,56,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.1,Medium,Grey,6.5,34.4,White,22.8,20.8,3.8,53,Variety
Present,Light Green,Sparse,Flat,209,NA,Absent,Palmate,Sparse,Absent,66,NA,Normal,46,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.7,Sparse,Grey,6.5,37.5,White,22.8,19.1,4,52,Variety
Present (Red),Dark Red,Sparse,Flat,213,NA,Present (Dark),Palmate,Sparse,Present,64,NA,Normal,50,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,2.4,Medium,White,6.5,31.3,White,21.1,18.3,3.2,52,Variety
Present (Red),Dark Red,Sparse,Flat,213,NA,Present (Dark),Palmate,Sparse,Present,64,NA,Normal,50,Yellow,Absent,Embedded,Absent,Pink,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,2.4,Medium,White,6.5,31.3,White,21.1,18.3,3.2,52,Variety
Present (Red),Dark Red,Sparse,Flat,213,NA,Present (Dark),Palmate,Sparse,Present,64,NA,Normal,50,Pink,Absent,Embedded,Absent,Cream,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,2.4,Medium,White,6.5,31.3,White,21.1,18.3,3.2,52,Variety
Present (Red),Dark Red,Sparse,Flat,213,NA,Present (Dark),Palmate,Sparse,Present,64,NA,Normal,50,Pink,Absent,Embedded,Absent,Pink,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,2.4,Medium,White,6.5,31.3,White,21.1,18.3,3.2,52,Variety
Present,Light Green,Sparse,Flat,177,NA,Present,Semi Digitate,Sparse,Absent,50,NA,Normal,50,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Pointed,Open,1.8,Medium,White,8,30.4,Cream,25.6,21.4,3.3,47,Variety
Present,Light Green,Sparse,Flat,181,NA,Present (Faint),Palmate,Sparse,Absent,74,NA,Normal,50,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Pointed,Open,2.6,Medium,Grey,6.5,38.1,White,25.1,21.2,2.8,49,Variety
Present,Light Green,Sparse,Flat,181,NA,Present (Faint),Palmate,Sparse,Absent,74,NA,Normal,50,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,2.6,Medium,Grey,6.5,38.1,White,25.1,21.2,2.8,49,Variety
Present,Light Green,Sparse,Flat,178,NA,Present,Palmate,Medium,Absent,72,NA,Normal,49,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,NA,Medium,Grey,7,34.6,Cream,23.8,20.8,3.3,49,Variety
Present,Light Green,Sparse,Flat,268,NA,Present,Palmate,Medium,Absent,60,NA,Normal,56,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.3,Medium,Grey,6.5,33.1,White,21.6,19.4,3.2,52,Variety
Present,Light Green,Sparse,Flat,134,NA,Present,Palmate,Sparse - Medium,Absent,50,NA,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.2,Dense,White,8.5,32.4,White,25.5,20.1,2.9,47,Variety
Present,Light Green,Sparse,Flat,134,NA,Present,Palmate,Sparse - Medium,Absent,50,NA,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3.2,Dense,White,8.5,32.4,White,25.5,20.1,2.9,47,Variety
Present,Light Green,Sparse,Cup,198,NA,Present,Palmate,Sparse,Absent,52,NA,Normal,49,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.8,Sparse,Grey,7,38.8,White,27.2,22.1,3,49,Variety
Present,Light Green,Medium,Flat,166,NA,Present,Digitate,Medium,Absent,58,NA,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,2.2,Sparse,Grey,6.5,28.5,White,24.1,19.1,3.1,48,Variety
Present,Light Green,Medium,Flat,166,NA,Present,Semi Digitate,Medium,Absent,58,NA,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,2.2,Sparse,Grey,6.5,28.5,White,24.1,19.1,3.1,48,Variety
Present,Light Green,Sparse,Flat,141,NA,Present,Palmate,Sparse,Absent,77,NA,Normal,53,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,3.1,Medium,Green,9.5,35.8,White,25.7,21.5,2.9,49,Variety
Present,Light Green,Sparse,Flat,141,NA,Present,Palmate,Sparse,Absent,77,NA,Normal,53,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3.1,Medium,Green,9.5,35.8,White,25.7,21.5,2.9,49,Variety
Present,Light Green,Sparse,Flat,239,NA,Absent,Palmate,Sparse,Absent,68,NA,Normal,52,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3.2,Medium,Grey,7,33.3,White,22.7,19.3,2.8,52,Variety
Present,Light Green,Sparse,Flat,292,NA,Present,Palmate,Medium,Present,95,NA,Normal,56,Cream,Absent,Exerted,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.1,Medium,Grey,8,34.8,White,22.3,20.8,3,51,Variety
Present,Light Green,Sparse,Flat,217,NA,Present,Palmate,Sparse,Absent,70,NA,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.1,Medium,Grey,7.5,31.9,White,23.3,20.4,4,50,Variety
Present,Light Green,Sparse,Flat,123,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Yellow,Absent,Exerted,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Okra
NA,Light Green,Sparse,Flat,133,NA,Present,Digitate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Okra
NA,Light Green,Sparse,Flat,133,NA,Present,Digitate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Okra
NA,Light Green,Sparse,Flat,170,NA,Present,Semi Digitate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Okra
NA,Light Green,Sparse,Flat,207,NA,Present,Semi Digitate,Medium,Absent,NA,NA,Normal,NA,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Okra
NA,Light Green,Sparse,Flat,123,NA,Present,Super Digitate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Okra
NA,Light Green,Medium,Flat,141,NA,Present,Semi Digitate,Medium,Absent,NA,NA,Normal,NA,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Okra
NA,Light Green,Sparse,Flat,136,NA,Present,Palmate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,190,NA,Present,Palmate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,136,NA,Present,Palmate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,190,NA,Present,Palmate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,170,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,238,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,179,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,189,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,208,NA,Present,Palmate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Present,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,243,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,243,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
Present (Red),Light Red,Medium,Flat,148,NA,Present,Palmate,Medium,Present,NA,NA,Normal,NA,Cream,Absent,Embedded,Present,Cream,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
Present (Red),Light Red,Medium,Flat,148,NA,Present,Palmate,Medium,Present,NA,NA,Normal,NA,Pink,Absent,Embedded,Present,Cream,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
Present (Red),Light Red,Medium,Flat,148,NA,Present,Palmate,Medium,Present,NA,NA,Normal,NA,Cream,Absent,Embedded,Present,Pink,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
Present (Red),Light Red,Medium,Flat,148,NA,Present,Palmate,Medium,Present,NA,NA,Normal,NA,Pink,Absent,Embedded,Present,Pink,Absent,Solitary,Red,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Medium,Cup,151,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,159,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Present,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Medium,Flat,112,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,181,NA,Absent,Palmate,Sparse,Absent,NA,NA,Normal,NA,Yellow,Absent,Embedded,Present,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,169,NA,Present,Palmate,Medium,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Present,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,202,NA,Present,Palmate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Elliptic,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,126,NA,Present,Lanceolate,Sparse,Absent,NA,NA,Normal,NA,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
NA,Light Green,Sparse,Flat,142,NA,Present,Digitate,Sparse,Absent,NA,NA,Normal,NA,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
Present,Light Green,Medium,Flat,126,NA,Present,Digitate,Medium,Absent,NA,NA,Normal,NA,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Pitted,Pointed,Open,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,New
Present,Light Green,Sparse,Flat,176,Present,Present,Palmate,Medium,Absent,71,Semi Spreading,Normal,52,Cream,Absent,Exerted,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Pointed,Open,3.9,Dense,Grey,7.5,36.78,White,25.4,19.6,3.2,48,JBWR
Present,Light Green,Sparse,Flat,218,Present,Present,Palmate,Medium,Absent,74,Semi Spreading,Normal,53,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,3.8,Dense,Grey,8,35.38,White,26.2,20.9,3.3,51,JBWR
Present,Light Green,Sparse,Flat,152,Present,Present,Palmate,Sparse,Absent,65,Semi Spreading,Normal,52,Yellow,Absent,Exerted,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3.2,Medium,Grey,7.5,38.08,White,24.1,19.9,2.5,48,JBWR
Present,Light Green,Sparse,Flat,164,Present,Present (Faint),Palmate,Medium,Absent,75,Semi Spreading,Normal,49,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.1,Sparse,Grey,6,34,White,24.4,19.7,2.6,49,JBWR
Present,Green,Medium,Flat,185,Present,Present (Faint),Palmate,Medium,Absent,66,Semi Spreading,Normal,56,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.6,Medium,Grey,8,40.28,White,24.2,20.4,3.6,50,JBWR
Present,Green,Medium,Flat,217,Present,Present (Faint),Palmate,Medium,Absent,75,Semi Spreading,Normal,52,Yellow,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.2,Medium,Grey,7.5,40.14,White,23.5,20.6,3.4,50,JBWR
Present,Green,Medium,Flat,217,Present,Present (Faint),Palmate,Medium,Absent,75,Semi Spreading,Normal,52,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Blunt,Open,2.2,Medium,Grey,7.5,40.14,White,23.5,20.6,3.4,50,JBWR
Present,Light Green,Sparse,Flat,130,Present,Present (Faint),Palmate,Medium,Absent,52,Semi Spreading,Normal,49,Cream,Absent,Exerted,Absent,Yellow,Absent,Solitary,Green,Round,Smooth,Blunt,Open,3.1,Dense,White,7,40,White,23.3,19.7,3.5,50,JBWR
Present,Light Green,Sparse,Flat,241,Present,Present (Faint),NA,Sparse,Absent,75,Semi Spreading,Normal,34,Yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,2.5,Medium,Grey,7,39.15,White,25.5,20,2.7,49,JBWR
Present,Light Green,Sparse,Flat,149,Present,Present (Faint),Palmate,Medium,Absent,NA,Semi Spreading,Normal,56,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Round,Smooth,Pointed,Open,1.9,Sparse,Grey,5.5,51.75,White,19.9,18,3.2,55,JBWR
Present,Green,Sparse,Flat,162,Present,Present (Faint),Palmate,Sparse,Absent,67,Semi Spreading,Normal,47,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.1,Medium,Grey,7,34.25,White,25.4,21.2,2.7,49,JBWR
Present,Green,Medium,Flat,201,Present,Present (Deep),Palmate,Medium,Present (Faint),75,Semi Spreading,Normal,49,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,3.2,Medium,Grey,7,37.93,White,24.7,21.2,3.1,50,JBWR
Present,Light Green,Medium,Flat,190,Present,Present (Faint),Palmate,Medium,Absent,90,Semi Spreading,Normal,49,Cream,Absent,Embedded,Absent,Yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,2.8,Medium,Grey,7.5,37.39,White,24.5,18.9,3.4,52,JBWR
