Characteristics,Hypocotyl : Pigmentation,Leaf: Colour,Leaf: Hairiness,Leaf: Appearance,Leaf: Gossypol glands,Leaf: Nectaries,Leaf: Petiole pigmentation,Leaf: Shape,Plant: Stem hairiness,Plant: Stem pigmentation,Plant: Height (cm),Plant: Growth habit,Bract: Type,Flower: Time of flowering (50% of plants with at least one open flower),Flower: Petal colour,Flower: Petal spot,Flower: Stigma,Flower: Anther filament colouration,Flower: Pollen colour,Flower: Male sterility (Only for A and B lines),Boll: Bearing habit,Boll: Colour,Boll: Shape (longitudinal section),Boll: Surface,Boll: Prominence of tip,Boll: Opening,Boll: Weight of seed cotton/boll (g),Seed: Fuzz,Seed: Fuzz colour,Seed: Index (100 seed wt in gram),Ginning %,Fibre: Colour,Fibre: Length (2.5 % span length)(mm),Fibre: Strength (g/tex),Fibre: Fineness (Micronaire value),Fibre: Uniformity (%),GROUP
IC 357814-DB ,  Present ,               Green,medium,Flat,Present (213/Sq. cm leaf) ,Present  ,Present,Palmate,Medium,Absent,71 cm  ,,Normal,52 Days (Medium)  ,Cream,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,, Dense, Greenish brown,7.5 , 19.42,Brown ,23.1 , 14.3, 2.1, 46,MARKER
IC 357944 ,Present  ,               Green,Sparse,Flat,Present (303/Sq. cm leaf) ,Present  ,Present,Palmate,sparse,Absent,  51 cm,,Normal,44 Days (Early)  ,yellow,Absent,Embedded,Absent,Cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open, 5.0, Medium, Grey, 6.5, 39.44,white , 21.9, 17.4, 3.0, 50,MARKER
IC 358183 ,Present  ,Green,Sparse,Flat,Present (192/Sq. cm leaf) ,Present  ,Present,palmate,sparse,present, 55 cm ,,normal,41 Days (Early)  ,cream,absent,embeded,absent,cream,absent,solitary,green,ovate,smooth,Blunt,open,5.1 , Dense, White, 8.5, 33.58,white ,22.2 , 18.5,3.1 , 49,MARKER
IC 358717 (,Present  ,               Green,Sparse,Flat,Present (178/Sq. cm leaf) ,Present  ,Present,Palmate,sparse,present,65 cm  , SS,Normal,34 Days (Early)  ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,, Sparse, Grey,5.5 , 40,white ,Sufficient fiber could not be obtained for analysis ,,,,MARKER
IC 358744 ,Present  ,               Green,Sparse,Flat,Present (229/Sq. cm leaf) ,Present  ,Present,Palmate,medium,absent,55 cm , SS,Normal,41 Days (Early)  ,cream,Absent,exerted,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,4.9 , Sparse, Grey, 8.5, 35.3,white ,29.0 , 20.4, 3.0, 47,MARKER
IC 358749 ,Present  ,               Green,Sparse,Flat,Present (185/Sq. cm leaf) ,Present  ,Present,degitate,sparse,absent,54 cm , SS,Normal,53 Days (Medium)  ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,rounded,Smooth,Blunt,Open,, Medium, Green,7.0 , 23.68, Green,23.2 , 19.2, 3.0, 49,MARKER
IC 358982 ,  Present ,              light Green,Sparse,Flat,Present (328/Sq. cm leaf) ,Present  ,Present,Palmate,medium,absent,70 cm  , SS,Normal,54 Days (Medium)   ,yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,blunt,Open,4.5 , Medium, Grey, 6.0, 42.2,white , 23.5, 19.1, 3.5, 49,MARKER
IC 358984 ,Present  ,               Green,Sparse-medium,Flat,Present (232/Sq. cm leaf) ,present ,Present,Palmate,medium,Absent,56 cm  , SS,Normal,50 Days (Medium)   ,yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,5.3 , Medium, Grey, 7.0, 40.24,white ,25.8 , 19.4, 3.2, 46,MARKER
IC 358988 ,Present  ,               Green,Medium,Flat,Present (229/Sq. cm leaf) ,present ,Present,degitate,medium,present, 40 cm , SS,Normal,50 Days (Medium)   ,yellow,Absent,Embedded,Absent,cream,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,8.8 , Dense, White,9.0 ,30.32 ,white ,26.6 , 17.6, 3.7, 47,MARKER
IC 358990 ,Present  (red),Dark red,Sparse,Flat,Present (114/Sq. cm leaf) ,present ,Present,Palmate,sparse,present,52 cm , SS,Normal,50 Days (Medium)   ,Cream with red shade,Absent,Embedded,Absent,cream,Absent,Solitary,red,Ovate,Smooth,Blunt,Open,5.5 , Medium, Grey, 7.0, 34.7,white , 25.7, 19.4, 3.2, 46,MARKER
IC 358991 ,Present  ,               Green,dense,Flat,Present (207/Sq. cm leaf) ,Present ,Present,Palmate,dense,absent,70 cm  , SS,Normal,49 Days (Early)   ,cream,Absent,Embedded,Absent,yellow,Absent,Solitary,Green,Ovate,Smooth,Pointed,Open,5.5 , Sparse, Grey,9.5 , 35.6,white ,24.9 ,20.7, 4.4, 50,MARKER
IC 358995 ,Present  ,               Green,Sparse,Flat,Present (229/Sq. cm leaf) ,Present  ,Present,Palmate,sparse,present,55 cm  , SS,Normal,53 Days (Medium)   ,cream,Absent,Embedded,Absent,cream,Absent,Solitary,Green,rounded,Smooth,blunt,Open,3.4 , Medium, White, 7.0, 35.16,Green ,No sufficient lint sample obtained for analysis ,,,,MARKER
IC 358997 (,Present  ,               Green,Sparse,Flat,Present (215/Sq. cm leaf) ,Present ,Present,Palmate,sparse,present,44 cm  , SS,Normal,53 Days (Medium)   ,pink,Absent,Embedded,Absent,cream,Absent,Solitary,red,Ovate,Smooth,Pointed,Open,1.2 , Medium, Grey,4.3 , 25,white  ,23.1 , 17.6, 3.4, 51,MARKER
