States/UTs,Crime Head,Year,Cases pending investigation from previous year,Cases reported Under 156_3 during the year,Cases reported in Police Stations during the year,Cases reported during the year,No of victims in the registered cases,No of cases withdrawn by the Govt during investigation,Cases not investigated Under 157_1_b CRPC,Cases transferred to other Police Station or Magistrate,Cases ended as final report false,Cases ended as mistake of fact or of law,Cases in ended as final report as Non Cognizable Submitted,Cases Chargesheeted Out of Cases During the Year,Cases Chargesheeted Out of Cases from Previous Year,Cases Chargesheeted,Cases Not Chargesheeted but final report Submitted,Total cases Investigated,Cases pending investigation at the end of the year,Cases pending trial from the previous year,Cases sent for trial during the year,Cases withdrawn by the Govt,Cases disposed off by Plea Bargaining,Cases for Trial during the year,Cases compounded or withdrawn,Cases in which trials were completed,Cases  convicted Out of Cases During the Year,Cases  convicted Out of Cases from Previous Year,Cases convicted,Cases Acquitted Out of Cases During the Year,Cases Acquitted Out of Cases from Previous Year,Cases Acquitted or Discharged,Cases Pending Trial at the end of the year
Andhra Pradesh,1 - Rape (Section 376 IPC),2014,602,9,952,961,962,0,0,9,31,5,0,255,395,650,13,699,855,1654,650,0,0,2304,11,469,0,59,59,3,407,410,1824
Andhra Pradesh,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,1.2 - Rape other than Custodial,2014,602,9,952,961,962,0,0,9,31,5,0,255,395,650,13,699,855,1654,650,0,0,2304,11,469,0,59,59,3,407,410,1824
Andhra Pradesh,1.2.1 - Rape_Gang Rape,2014,8,0,14,14,14,0,0,0,0,1,0,2,6,8,0,9,13,14,8,0,0,22,0,5,0,0,0,0,5,5,17
Andhra Pradesh,1.2.2 - Rape_Others,2014,594,9,938,947,948,0,0,9,31,4,0,253,389,642,13,690,842,1640,642,0,0,2282,11,464,0,59,59,3,402,405,1807
Andhra Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,48,2,163,165,165,0,0,0,18,1,0,69,32,101,5,125,88,111,101,0,0,212,10,69,0,6,6,3,60,63,133
Andhra Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,439,8,713,721,806,0,0,1,155,56,0,243,221,464,21,696,463,1104,464,0,0,1568,18,334,1,11,12,19,303,322,1216
Andhra Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,2014,68,1,179,180,249,0,0,1,29,17,0,62,49,111,3,160,87,227,111,0,0,338,3,63,1,4,5,4,54,58,272
Andhra Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,3.3 - Kidnapping for Ransom Section 364A,2014,1,1,2,3,3,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,231,2,272,274,274,0,0,0,67,17,0,96,119,215,16,315,190,535,215,0,0,750,14,157,0,2,2,9,146,155,579
Andhra Pradesh,3.5 - Kidnapping & Abduction of Women-Other,2014,139,3,260,263,279,0,0,0,58,22,0,85,53,138,2,220,182,342,138,0,0,480,1,114,0,5,5,6,103,109,365
Andhra Pradesh,4 - Dowry Deaths (Section 304-B IPC),2014,160,3,212,215,215,0,0,2,5,1,0,62,124,186,0,192,181,541,186,0,0,727,1,148,2,27,29,9,110,119,578
Andhra Pradesh,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,1852,153,4394,4547,4557,0,0,9,775,91,1,2106,1114,3220,90,4177,2213,5267,3220,0,0,8487,270,1794,21,145,166,213,1415,1628,6423
Andhra Pradesh,5.1 - Sexual Harassment,2014,296,7,1065,1072,1076,0,0,4,162,16,0,491,212,703,25,906,458,483,703,0,0,1186,26,264,4,17,21,21,222,243,896
Andhra Pradesh,5.2 - Assault on women with intent to Disrobe,2014,29,9,325,334,335,0,0,0,53,6,0,140,20,160,11,230,133,47,160,0,0,207,5,15,1,0,1,4,10,14,187
Andhra Pradesh,5.3 - Voyeurism,2014,11,0,71,71,71,0,0,0,4,0,0,42,2,44,2,50,32,4,44,0,0,48,0,3,0,0,0,3,0,3,45
Andhra Pradesh,5.4 - Stalking,2014,60,2,502,504,504,0,0,1,24,1,0,267,49,316,13,354,209,39,316,0,0,355,13,14,1,0,1,5,8,13,328
Andhra Pradesh,5.5 - Others,2014,1456,135,2431,2566,2571,0,0,4,532,68,1,1166,831,1997,39,2637,1381,4694,1997,0,0,6691,226,1498,15,128,143,180,1175,1355,4967
Andhra Pradesh,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,633,39,2610,2649,2676,0,0,6,320,32,8,1379,758,2137,25,2522,754,3527,2137,0,7,5657,1105,1534,67,221,288,400,846,1246,3018
Andhra Pradesh,6.1 - At Office premises,2014,8,0,3,3,3,0,0,0,1,0,0,2,0,2,0,3,8,12,2,0,0,14,2,4,0,0,0,0,4,4,8
Andhra Pradesh,6.2 - Other places related to work,2014,40,0,84,84,84,0,0,1,11,0,0,21,75,96,0,107,16,166,96,0,0,262,57,78,0,0,0,6,72,78,127
Andhra Pradesh,6.3 - In Public Transport system,2014,8,2,63,65,65,0,0,1,4,0,0,9,40,49,10,63,9,41,49,0,0,90,6,23,2,5,7,4,12,16,61
Andhra Pradesh,6.4 - in Other Places,2014,577,37,2460,2497,2524,0,0,4,304,32,8,1347,643,1990,15,2349,721,3308,1990,0,7,5291,1040,1429,65,216,281,390,758,1148,2822
Andhra Pradesh,7 - Cruelty by Husband or his Relatives (Section 498A),2014,3374,593,5769,6362,6401,0,0,53,367,112,1,3436,2210,5646,91,6217,3466,15017,5646,0,1,20662,1879,3403,47,181,228,345,2830,3175,15380
Andhra Pradesh,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,9 - Abetment of Suicides of Women u/s 306 IPC,2014,142,0,217,217,217,0,0,4,3,2,0,84,93,177,5,187,168,363,177,0,0,540,4,115,1,10,11,5,99,104,421
Andhra Pradesh,"10 - Dowry Prohibition Act, 1961",2014,531,7,461,468,468,0,0,0,51,0,0,240,329,569,3,623,376,1934,569,0,0,2503,165,804,0,26,26,35,743,778,1534
Andhra Pradesh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,14,0,3,3,3,0,0,0,0,0,0,2,12,14,0,14,3,33,14,0,0,47,0,21,0,4,4,0,17,17,26
Andhra Pradesh,12 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,97,0,204,204,289,0,0,0,0,1,0,155,70,225,0,226,75,349,225,0,0,574,1,110,0,6,6,4,100,104,463
Andhra Pradesh,14.1 - Under ITP Section 5,2014,21,0,23,23,29,0,0,0,0,0,0,11,13,24,0,24,20,48,24,0,0,72,1,18,0,2,2,1,15,16,53
Andhra Pradesh,14.2 - Under ITP Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14.3 - Under ITP Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,14.4 - Under ITP Section 8,2014,0,0,2,2,2,0,0,0,0,0,0,2,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2
Andhra Pradesh,14.5 - Other Sections under ITP Act,2014,76,0,179,179,258,0,0,0,0,1,0,142,57,199,0,200,55,301,199,0,0,500,0,92,0,4,4,3,85,88,408
Andhra Pradesh,15 - Total Crimes against Women,2014,7892,814,15698,16512,16759,0,0,84,1725,301,10,8031,5358,13389,253,15678,8642,29900,13389,0,8,43281,3464,8801,139,696,835,1036,6930,7966,31016
Arunachal Pradesh,1 - Rape (Section 376 IPC),2014,51,0,83,83,83,0,0,1,0,0,0,50,24,74,7,81,52,577,74,0,0,651,0,7,0,3,3,0,4,4,644
Arunachal Pradesh,1.1 - Custodial Rape,2014,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,1.1.2 - Custodial_Other Rape,2014,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,1.2 - Rape other than Custodial,2014,51,0,79,79,79,0,0,1,0,0,0,50,24,74,7,81,48,577,74,0,0,651,0,7,0,3,3,0,4,4,644
Arunachal Pradesh,1.2.1 - Rape_Gang Rape,2014,1,0,5,5,5,0,0,1,0,0,0,3,0,3,0,3,2,0,3,0,0,3,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,1.2.2 - Rape_Others,2014,50,0,74,74,74,0,0,0,0,0,0,47,24,71,7,78,46,577,71,0,0,648,0,7,0,3,3,0,4,4,641
Arunachal Pradesh,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0,0,10,10,10,0,0,0,0,0,0,6,0,6,0,6,4,0,6,0,0,6,0,1,1,0,1,0,0,0,5
Arunachal Pradesh,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,26,0,91,91,107,0,0,0,0,0,0,30,9,39,39,78,39,169,39,0,0,208,1,0,0,0,0,0,0,0,207
Arunachal Pradesh,3.1 - Kidnaping & Abduction Section 363 IPC,2014,0,0,25,25,27,0,0,0,0,0,0,3,0,3,16,19,6,0,3,0,0,3,0,0,0,0,0,0,0,0,3
Arunachal Pradesh,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,5,0,20,20,20,0,0,0,0,0,0,8,0,8,8,16,9,162,8,0,0,170,1,0,0,0,0,0,0,0,169
Arunachal Pradesh,3.5 - Kidnapping & Abduction of Women-Other,2014,21,0,44,44,58,0,0,0,0,0,0,18,9,27,15,42,23,7,27,0,0,34,0,0,0,0,0,0,0,0,34
Arunachal Pradesh,4 - Dowry Deaths (Section 304-B IPC),2014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,66,0,121,121,130,0,0,0,0,0,0,70,21,91,10,101,86,466,91,0,0,557,2,6,1,4,5,0,1,1,549
Arunachal Pradesh,5.1 - Sexual Harassment,2014,0,0,21,21,21,0,0,0,0,0,0,16,0,16,0,16,5,0,16,0,0,16,0,2,1,0,1,0,1,1,14
Arunachal Pradesh,5.2 - Assault on women with intent to Disrobe,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,5.3 - Voyeurism,2014,0,0,6,6,6,0,0,0,0,0,0,4,0,4,1,5,1,0,4,0,0,4,0,0,0,0,0,0,0,0,4
Arunachal Pradesh,5.4 - Stalking,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Arunachal Pradesh,5.5 - Others,2014,66,0,93,93,102,0,0,0,0,0,0,49,21,70,9,79,80,466,70,0,0,536,2,4,0,4,4,0,0,0,530
Arunachal Pradesh,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,0,0,3,3,3,0,0,0,0,0,0,1,0,1,0,1,2,25,1,0,0,26,0,0,0,0,0,0,0,0,26
Arunachal Pradesh,6.1 - At Office premises,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,6.2 - Other places related to work,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,6.3 - In Public Transport system,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,6.4 - in Other Places,2014,0,0,3,3,3,0,0,0,0,0,0,1,0,1,0,1,2,25,1,0,0,26,0,0,0,0,0,0,0,0,26
Arunachal Pradesh,7 - Cruelty by Husband or his Relatives (Section 498A),2014,19,0,42,42,42,0,0,1,0,0,0,23,7,30,1,31,29,118,30,0,0,148,0,0,0,0,0,0,0,0,148
Arunachal Pradesh,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,9 - Abetment of Suicides of Women u/s 306 IPC,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"10 - Dowry Prohibition Act, 1961",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,12 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.1 - Under ITP Section 5,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.2 - Under ITP Section 6,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.3 - Under ITP Section 7,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.4 - Under ITP Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,14.5 - Other Sections under ITP Act,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,15 - Total Crimes against Women,2014,162,0,351,351,376,0,0,2,0,0,0,180,61,241,57,298,213,1356,241,0,0,1597,3,14,2,7,9,0,5,5,1580
Assam,1 - Rape (Section 376 IPC),2014,3277,45,1935,1980,2047,0,0,0,38,24,0,708,660,1368,651,2081,3176,6078,1368,0,0,7446,0,829,69,101,170,179,480,659,6617
Assam,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,1.2 - Rape other than Custodial,2014,3277,45,1935,1980,2047,0,0,0,38,24,0,708,660,1368,651,2081,3176,6078,1368,0,0,7446,0,829,69,101,170,179,480,659,6617
Assam,1.2.1 - Rape_Gang Rape,2014,0,0,23,23,23,0,0,0,2,0,0,9,0,9,5,16,7,0,9,0,0,9,0,3,3,0,3,0,0,0,6
Assam,1.2.2 - Rape_Others,2014,3277,45,1912,1957,2024,0,0,0,36,24,0,699,660,1359,646,2065,3169,6078,1359,0,0,7437,0,826,66,101,167,179,480,659,6611
Assam,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0,15,212,227,227,0,0,0,3,2,0,77,0,77,35,117,110,0,77,0,0,77,0,29,16,1,17,12,0,12,48
Assam,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,5752,72,3823,3895,3895,11,0,0,98,140,0,732,619,1351,1660,3249,6387,4608,1351,0,0,5959,0,723,44,49,93,260,370,630,5236
Assam,3.1 - Kidnaping & Abduction Section 363 IPC,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,5752,72,3811,3883,3883,11,0,0,98,140,0,730,618,1348,1658,3244,6380,4607,1348,0,0,5955,0,722,44,49,93,259,370,629,5233
Assam,3.5 - Kidnapping & Abduction of Women-Other,2014,0,0,8,8,8,0,0,0,0,0,0,2,1,3,2,5,3,1,3,0,0,4,0,1,0,0,0,1,0,1,3
Assam,4 - Dowry Deaths (Section 304-B IPC),2014,316,2,186,188,189,0,0,0,0,3,0,69,42,111,18,132,372,500,111,1,0,610,0,63,3,15,18,8,37,45,547
Assam,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,1784,172,2927,3099,3100,0,0,0,45,129,1,699,417,1116,1283,2574,2309,2707,1116,0,0,3823,0,776,27,30,57,300,419,719,3047
Assam,5.1 - Sexual Harassment,2014,0,32,426,458,458,0,0,0,5,5,0,85,0,85,160,255,203,2,85,0,0,87,0,30,4,0,4,24,2,26,57
Assam,5.2 - Assault on women with intent to Disrobe,2014,227,1,398,399,399,0,0,0,0,0,0,57,34,91,226,317,309,212,91,0,0,303,0,8,0,2,2,3,3,6,295
Assam,5.3 - Voyeurism,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,5.4 - Stalking,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,5.5 - Others,2014,1557,139,2103,2242,2243,0,0,0,40,124,1,557,383,940,897,2002,1797,2493,940,0,0,3433,0,738,23,28,51,273,414,687,2695
Assam,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
Assam,6.1 - At Office premises,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,6.2 - Other places related to work,2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
Assam,6.3 - In Public Transport system,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,6.4 - in Other Places,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,7 - Cruelty by Husband or his Relatives (Section 498A),2014,6786,655,8971,9626,9626,0,0,36,168,813,4,3497,2449,5946,2282,9213,7163,11135,5946,0,12,17069,114,3285,70,89,159,1244,1882,3126,13670
Assam,8 - Importation of Girls from Foreign Country (Section 366B IPC),2014,4,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,4,1,1,0,0,2,0,0,0,0,0,0,0,0,2
Assam,9 - Abetment of Suicides of Women u/s 306 IPC,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"10 - Dowry Prohibition Act, 1961",2014,37,2,90,92,92,0,0,0,0,0,0,46,4,50,30,80,49,222,50,0,0,272,0,6,0,2,2,4,0,4,266
Assam,"11 - Indecent Representation of Women (Prohibition) Act, 1986",2014,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,12 - Commission of Sati Prevention Act 1987,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"13 - Protection of Women from Domestic Violence Act, 2005",2014,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
Assam,14 - Immoral Traffic (Prevention) Act (Women Cases only),2014,22,0,29,29,29,0,0,0,0,0,0,10,3,13,2,15,36,24,13,0,0,37,0,7,0,0,0,3,4,7,30
Assam,14.1 - Under ITP Section 5,2014,0,0,6,6,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,14.2 - Under ITP Section 6,2014,2,0,1,1,1,0,0,0,0,0,0,0,2,2,0,2,1,4,2,0,0,6,0,4,0,0,0,0,4,4,2
Assam,14.3 - Under ITP Section 7,2014,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,14.4 - Under ITP Section 8,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,14.5 - Other Sections under ITP Act,2014,20,0,20,20,20,0,0,0,0,0,0,10,1,11,2,13,27,20,11,0,0,31,0,3,0,0,0,3,0,3,28
Assam,15 - Total Crimes against Women,2014,17980,963,18176,19139,19208,11,0,36,352,1111,5,5841,4194,10035,5961,17464,19608,25275,10035,1,12,35297,114,5719,229,287,516,2010,3193,5203,29464
Bihar,1 - Rape (Section 376 IPC),2014,832,142,985,1127,1169,0,0,0,92,34,3,536,312,848,57,1034,925,3820,848,0,0,4668,27,432,31,85,116,64,252,316,4209
Bihar,1.1 - Custodial Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
Bihar,1.1.1 - Custodial_Gang Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,1.1.2 - Custodial_Other Rape,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
Bihar,1.2 - Rape other than Custodial,2014,832,142,985,1127,1169,0,0,0,87,34,8,536,312,848,57,1034,925,3819,848,0,0,4667,27,431,31,84,115,64,252,316,4209
Bihar,1.2.1 - Rape_Gang Rape,2014,0,1,23,24,27,0,0,0,0,0,0,16,0,16,0,16,8,0,16,0,0,16,0,3,2,1,3,0,0,0,13
Bihar,1.2.2 - Rape_Others,2014,832,141,962,1103,1142,0,0,0,92,34,3,520,312,832,57,1018,917,3819,832,0,0,4651,27,428,29,83,112,64,252,316,4196
Bihar,2 - Attempt to commit Rape (Section 376 & 511 IPC),2014,0,84,400,484,484,0,0,0,77,15,9,193,2,195,3,299,185,0,195,0,0,195,3,40,10,3,13,24,3,27,152
Bihar,"3 - Kidnapping & Abduction of Women (Section 363,364,364A, 366-369 IPC)",2014,2163,238,4497,4735,4760,0,0,0,72,681,15,1231,1041,2272,616,3656,3242,7866,2272,0,0,10138,141,850,19,62,81,146,623,769,9147
Bihar,3.1 - Kidnaping & Abduction Section 363 IPC,2014,0,0,55,55,55,0,0,0,3,4,2,11,0,11,7,27,28,0,11,0,0,11,0,1,0,0,0,1,0,1,10
Bihar,3.2 - Kidnaping & Abduction in order to Murder Section 364 IPC,2014,0,0,9,9,9,0,0,0,0,0,0,2,0,2,0,2,7,0,2,0,0,2,0,1,0,0,0,1,0,1,1
Bihar,3.3 - Kidnapping for Ransom Section 364A,2014,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,3.4 - Kidnapping & Abduction of Women to compel her for marriage,2014,2163,235,4406,4641,4641,0,0,0,68,677,13,1207,1041,2248,609,3615,3189,7866,2248,0,0,10114,141,848,19,62,81,144,623,767,9125
Bihar,3.5 - Kidnapping & Abduction of Women-Other,2014,0,3,25,28,53,0,0,0,1,0,0,11,0,11,0,12,16,0,11,0,0,11,0,0,0,0,0,0,0,0,11
Bihar,4 - Dowry Deaths (Section 304-B IPC),2014,1541,140,1233,1373,1394,0,0,1,9,88,41,516,563,1079,104,1321,1592,5713,1079,0,9,6783,130,507,28,107,135,50,322,372,6146
Bihar,5 - Assault on Women with intent to outrage her Modesty_Total (Section 354 IPC),2014,109,50,522,572,574,0,0,0,52,29,21,343,46,389,24,515,166,120,389,0,0,509,1,55,4,8,12,21,22,43,453
Bihar,5.1 - Sexual Harassment,2014,57,23,248,271,271,0,0,0,20,14,9,179,25,204,11,258,70,78,204,0,0,282,1,25,1,3,4,10,11,21,256
Bihar,5.2 - Assault on women with intent to Disrobe,2014,2,3,58,61,63,0,0,0,1,0,0,47,2,49,1,51,12,2,49,0,0,51,0,5,1,0,1,4,0,4,46
Bihar,5.3 - Voyeurism,2014,0,0,4,4,4,0,0,0,0,0,0,4,0,4,0,4,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4
Bihar,5.4 - Stalking,2014,0,0,7,7,7,0,0,0,0,0,0,6,0,6,0,6,1,0,6,0,0,6,0,0,0,0,0,0,0,0,6
Bihar,5.5 - Others,2014,50,24,205,229,229,0,0,0,31,15,12,107,19,126,12,196,83,40,126,0,0,166,0,25,2,5,7,7,11,18,141
Bihar,6 - Insult to the Modesty of Women_Total (Section 509 IPC),2014,95,8,61,69,69,0,0,0,1,0,1,25,82,107,8,117,47,2113,107,0,0,2220,12,197,0,11,11,18,168,186,2011
